epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2573.44,0.6052,0.35287,0.9836,0.96367,0.94408,0.9654,0.78332,0.78259,0.38125,1.11397,0.000396262,0.000396262,0.000396262
75,2607.25,0.61608,0.35176,0.99047,0.97373,0.92544,0.96655,0.78693,0.77509,0.37448,1.13111,0.000382115,0.000382115,0.000382115
76,2644.26,0.59259,0.35694,0.97143,0.98703,0.92554,0.969,0.79801,0.76678,0.37057,1.12105,0.000367967,0.000367967,0.000367967
77,2684.84,0.61146,0.34502,0.98245,0.97813,0.92202,0.96115,0.79206,0.75486,0.36742,1.12043,0.00035382,0.00035382,0.00035382
78,2717.71,0.58542,0.33311,0.96772,0.96505,0.94726,0.96406,0.7896,0.76935,0.3706,1.1206,0.000339673,0.000339673,0.000339673
79,2751,0.60637,0.34477,0.9805,0.97902,0.93048,0.96473,0.78867,0.77032,0.38935,1.11955,0.000325526,0.000325526,0.000325526
80,2784.33,0.59007,0.34477,0.97693,0.98145,0.93467,0.97121,0.79807,0.75659,0.36459,1.11633,0.000311379,0.000311379,0.000311379
81,2818.61,0.56774,0.32766,0.96756,0.96971,0.92973,0.96446,0.78785,0.7639,0.37861,1.12695,0.000297232,0.000297232,0.000297232
82,2853.18,0.5923,0.34055,0.96467,0.97748,0.92522,0.96592,0.79211,0.7574,0.3866,1.12223,0.000283085,0.000283085,0.000283085
83,2889.82,0.58841,0.342,0.97125,0.97167,0.92869,0.96216,0.79615,0.75159,0.37623,1.11972,0.000268938,0.000268938,0.000268938
84,2929.36,0.56799,0.33308,0.96824,0.97737,0.93705,0.96313,0.79323,0.76397,0.38408,1.12888,0.000254791,0.000254791,0.000254791
85,2963.63,0.56073,0.32382,0.96746,0.98039,0.93718,0.96691,0.78947,0.76022,0.36954,1.13469,0.000240644,0.000240644,0.000240644
86,2993.96,0.56936,0.33335,0.96391,0.97975,0.93148,0.96404,0.78317,0.76264,0.38026,1.13473,0.000226497,0.000226497,0.000226497
87,3025.03,0.56711,0.32503,0.96467,0.95823,0.93868,0.96766,0.79185,0.76482,0.38743,1.12468,0.000212349,0.000212349,0.000212349
88,3056.72,0.57026,0.33609,0.96786,0.98002,0.93422,0.96743,0.79049,0.75658,0.37826,1.12876,0.000198202,0.000198202,0.000198202
89,3087.9,0.57448,0.3328,0.96442,0.98292,0.93819,0.96719,0.79215,0.76581,0.38163,1.12553,0.000184055,0.000184055,0.000184055
